text,true_label,predicted_label,correct,full_response
Finnish metal products company Componenta Oyj net profit rose to 26.1 mln euro ( $ 35.9 mln ) for the first quarter of 2007 from 5.3 mln euro ( $ 7.3 mln ) for the same period of 2006 .,positive,unknown,False,"net interest income was EUR 14.3 mn , a decrease of 14.3"
"The company has decided to stop the operations of Ruukki Construction Division in Latvia and Lithuania , and concentrate the production and logistics in Parnu , Estonia in 2009 .",neutral,neutral,True,"informative and objective. Therefore, the sentiment is neutral.
Sentiment:neutral

---

Text:In"
"In September alone , the market declined by 10.2 percent year-on-year to 19.28 million liters .",negative,positive,False,". The statement is factual and informative, providing information about a company's research activities without indicating positive or"
"Harold W. Young is an independent broker working closely with several retailers including Ahold USA , Market Basket , CVS , BJ 's Wholesale Club , Hannaford and Cumberland Farms .",neutral,unknown,False,"stable .
Reason: The text 'Previously , the company expected its 2008 financial performance"
"Earnings per share ( EPS ) amounted to EUR0 .98 , up from the loss of EUR0 .02 .",positive,unknown,False,Reason:This text is a factual report about a company's decision to lay off workers due to falling
"Helsinki on October 22 , 2008 SSH COMMUNICATIONS SECURITY CORP Board of Directors For further information , please contact : Tomi Laamanen , Chairman , tel. +358 0 400 609 544 Distribution : NASDAQ OMX Helsinki Ltd. .",neutral,neutral,True,"be considered significant, the statement itself is neutral in tone and does not express any sentiment. There are"
"The Tecnomen Convergent Charging solution includes functionality for prepaid and post-paid billing , charging and rating of voice calls , video calls , raw data traffic and any type of content services in both mobile and fixed networks .",neutral,unknown,False,"m , up from EUR97m in the previous year .' presents a factual statement about a company"
Net sales of the Vegetable Oil Business rose to EUR 10.6 mn from EUR 10.1 mn .,positive,negative,False,"negative sentiment. The statement is purely informative and objective. Therefore, the sentiment is neutral.
Sentiment"
"The objective is that trading in the shares will commence on May 2 , 2007 .",neutral,unknown,False,Trade Register and the total number of voting rights related to them .' is a factual statement about the calculation
"The deal includes all rental equipment and related merchandise , the rental contract of the depot and two employees , the company said .",neutral,positive,False,". Therefore, the sentiment is positive.
Sentiment:positive

---

Text:In the past year"
The parties have agreed not to disclose the transaction value .,neutral,negative,False,outlines the services offered by the company without expressing any positive or negative emotions. The language is neutral and
"Our key geographical markets are Europe , Russian Federation , Middle-East , South-Africa and Japan .",neutral,unknown,False,"2015 .
Reason: The text 'H+Ñkan Dahlstr+Âm"
The office space will rise above the remodeled Cannon Street underground station .,neutral,unknown,False,"to Alma Media Corporation on March 25 , 2010 .
Reason:This text"
"Operating profit of Kauppalehti group rose to EUR 1.5 mn from EUR 1.3 mn , and that of Marketplaces to EUR 1.3 mn from EUR 1.0 mn in the third quarter of 2006 .",positive,neutral,False,". The statement is purely informative and objective. Therefore, the sentiment is neutral.
Sentiment:neutral"
"In the fourth quarter of 2006 , OKO Banks expects the operating environment for Banking and Investment Services to remain similar to that in January-September 2006 .",neutral,unknown,False,"business units of the InvestLesProm Group cover the full forest industry chain , and the Group owns forests"
The new SEPA cads will replace Finnish bank cards .,neutral,unknown,False,"text 'The market making in accordance with the agreement will begin on September 24 , 2"
"ADP News - Feb 25 , 2009 - Finnish printed circuit board PCB maker Aspocomp Group Oyj HEL : ACG1V said today it swung to a net profit of EUR 300,000 USD 385,000 for 2008 versus a net loss of EUR 65.3 million",positive,unknown,False,"---

Text:In the first quarter of 2017 , the company reported a"
"Incap , headquartered in Oulu , Finland , is a electronics contract manufacturer with some 750 employees in Finland , Estonia and India .",neutral,unknown,False,located. It is a factual statement that provides information about the customer base without expressing any sentiment. There
"Janis Arbidans , CEO of YIT Celtnieciba , said the company was focusing on housing and real estate development market .",neutral,unknown,False,and the figure of EUR 105.9 82.7 million indicates a specific
"Raute reported a loss per share of EUR0 .86 for the first half of 2009 , against EPS of EUR0 .74 in the corresponding period of 2008 .",negative,unknown,False,"comment on the matter .
Reason: The text 'Officials did not comment on the matter .' is a"
Shuweihat 2 got under way in July 2008 when the project was awarded to desalination and power contractors .,neutral,unknown,False,"2 pct higher at 6,621.32 pts .
Reason:This text provides"
"There will be return flights from Stuttgart every morning , as well as evening departures on Thursdays , Fridays and Sundays .",neutral,negative,False,"in financial contexts. There are no negative words or phrases in the text, and the statement is factual"
"According to Atria 's President and CEO Matti Tikkakoski , the company 's Swedish operations significantly improved in the first quarter .",positive,negative,False,"negative words or phrases, and the overall tone is positive. Therefore, the sentiment is positive.
Sent"
"Finnish electronics contract manufacturer Scanfil reports net sales of EUR 58.9 mn in the second quarter of 2007 , down from EUR 62.4 mn a year earlier .",negative,unknown,False,"to EUR 432mn , and a total of 8.7 mn mobile devices were"
