text,true_label,predicted_label,correct,full_response
Finnish metal products company Componenta Oyj net profit rose to 26.1 mln euro ( $ 35.9 mln ) for the first quarter of 2007 from 5.3 mln euro ( $ 7.3 mln ) for the same period of 2006 .,positive,positive,True,"**Sentiment: positive**

**Reasoning:** The text states that the net profit of the Finnish"
"The company has decided to stop the operations of Ruukki Construction Division in Latvia and Lithuania , and concentrate the production and logistics in Parnu , Estonia in 2009 .",neutral,negative,False,Sentiment: negative
"In September alone , the market declined by 10.2 percent year-on-year to 19.28 million liters .",negative,negative,True,Sentiment: negative
"Harold W. Young is an independent broker working closely with several retailers including Ahold USA , Market Basket , CVS , BJ 's Wholesale Club , Hannaford and Cumberland Farms .",neutral,neutral,True,Sentiment: neutral
"Earnings per share ( EPS ) amounted to EUR0 .98 , up from the loss of EUR0 .02 .",positive,positive,True,"**Sentiment: positive**

**Reasoning:** The text states that earnings per share (EPS)"
"Helsinki on October 22 , 2008 SSH COMMUNICATIONS SECURITY CORP Board of Directors For further information , please contact : Tomi Laamanen , Chairman , tel. +358 0 400 609 544 Distribution : NASDAQ OMX Helsinki Ltd. .",neutral,neutral,True,"**Sentiment: neutral**

The text provides factual information about a company (SSH Communications Security Corp),"
"The Tecnomen Convergent Charging solution includes functionality for prepaid and post-paid billing , charging and rating of voice calls , video calls , raw data traffic and any type of content services in both mobile and fixed networks .",neutral,neutral,True,"**Sentiment: neutral**

The text provides a factual description of the features and capabilities of the Tecn"
Net sales of the Vegetable Oil Business rose to EUR 10.6 mn from EUR 10.1 mn .,positive,positive,True,"Sentiment: **positive**  

**Reasoning:** The text states that ""Net sales of the"
"The objective is that trading in the shares will commence on May 2 , 2007 .",neutral,neutral,True,"**Sentiment: neutral**

The statement provides factual information about the timing of share trading commencement without expressing"
"The deal includes all rental equipment and related merchandise , the rental contract of the depot and two employees , the company said .",neutral,neutral,True,Sentiment: neutral
The parties have agreed not to disclose the transaction value .,neutral,neutral,True,Sentiment: neutral
"Our key geographical markets are Europe , Russian Federation , Middle-East , South-Africa and Japan .",neutral,neutral,True,neutral
The office space will rise above the remodeled Cannon Street underground station .,neutral,neutral,True,Sentiment: neutral
"Operating profit of Kauppalehti group rose to EUR 1.5 mn from EUR 1.3 mn , and that of Marketplaces to EUR 1.3 mn from EUR 1.0 mn in the third quarter of 2006 .",positive,positive,True,Sentiment: positive
"In the fourth quarter of 2006 , OKO Banks expects the operating environment for Banking and Investment Services to remain similar to that in January-September 2006 .",neutral,neutral,True,Sentiment:neutral
The new SEPA cads will replace Finnish bank cards .,neutral,neutral,True,Sentiment: neutral
"ADP News - Feb 25 , 2009 - Finnish printed circuit board PCB maker Aspocomp Group Oyj HEL : ACG1V said today it swung to a net profit of EUR 300,000 USD 385,000 for 2008 versus a net loss of EUR 65.3 million",positive,positive,True,"**Sentiment: positive**

**Explanation:** The text mentions that the company ""swung to a"
"Incap , headquartered in Oulu , Finland , is a electronics contract manufacturer with some 750 employees in Finland , Estonia and India .",neutral,neutral,True,Sentiment: neutral
"Janis Arbidans , CEO of YIT Celtnieciba , said the company was focusing on housing and real estate development market .",neutral,neutral,True,Sentiment: neutral
"Raute reported a loss per share of EUR0 .86 for the first half of 2009 , against EPS of EUR0 .74 in the corresponding period of 2008 .",negative,negative,True,Sentiment: negative
Shuweihat 2 got under way in July 2008 when the project was awarded to desalination and power contractors .,neutral,neutral,True,Sentiment: neutral
"There will be return flights from Stuttgart every morning , as well as evening departures on Thursdays , Fridays and Sundays .",neutral,neutral,True,Sentiment: neutral
"According to Atria 's President and CEO Matti Tikkakoski , the company 's Swedish operations significantly improved in the first quarter .",positive,positive,True,Sentiment:positive
"Finnish electronics contract manufacturer Scanfil reports net sales of EUR 58.9 mn in the second quarter of 2007 , down from EUR 62.4 mn a year earlier .",negative,neutral,False,Sentiment:neutral
Kesko has previously published a stock exchange release concerning the deal on 7 February 2007 .,neutral,neutral,True,Sentiment: neutral
Ruukki 's order book at the end of 2010 was 30 % up year-on-year and 10 % up quarter-on-quarter .,positive,positive,True,"**Sentiment: positive**  

**Reasoning:** The text states that Ruukki's order"
"`` The enterprise value of the Fray Bentos pulp mill and Forestal Oriental totals approximately euro1 .6 billion , '' UPM said .",neutral,neutral,True,"**Sentiment: neutral**

The statement provides factual information about the enterprise value of two pulp mills,"
These measures are expected to produce annual cost savings of EUR 1.5 million starting in 2007 .,positive,positive,True,"**Sentiment: positive**

**Reasoning:** The text mentions that ""these measures are expected to"
"Currently Glaston employs approximately 1,500 persons .",neutral,neutral,True,"**Sentiment: neutral**  

The statement provides factual information about the number of employees at Glast"
"Ragutis , which is based in Lithuania 's second-largest city Kaunas , boosted its sales last year 22.3 per cent to 36.4 million liters .",positive,positive,True,Sentiment:positive
"Customers wave cards in front of the reader to make payments , similar to `` touch and go '' cards used in transport systems .",neutral,neutral,True,"Sentiment: neutral

Explanation: The text describes a process or method (wave cards in front of"
"BasWare 's CEO Ilkka Sihvo comments in conjunction with the Interim Report : `` As a whole , BasWare succeeded well in the second quarter of 2007 .",positive,positive,True,Sentiment: positive
"The share capital of Biotie Therapies Corp. constitutes 90,211,860 shares in the aggregate and the number of voting rights attached to the shares amounts to 90,211,860 .",neutral,neutral,True,"**Sentiment: neutral**

The text provides factual information about the share capital and voting rights of B"
"Consolidated operating profit excluding one-off items was EUR 30.6 mn , up from EUR 29.6 mn a year earlier .",positive,positive,True,"**Sentiment: positive**  

**Reasoning:** The text mentions that consolidated operating profit increased from"
"In Penttil+ñ 's vision , the most important reason for the transaction is Russia .",neutral,neutral,True,"Sentiment: neutral

**Explanation:** The statement is factual and descriptive, stating a vision or reason"
"Established in 1989 , CapMan manages Nordic buyout , mezzanine , technology , life science and real estate funds with approximately EURO 3 billion $ 4 billion in total capital .",neutral,neutral,True,Sentiment:neutral
It estimates the operating profit to further improve from the third quarter .,positive,positive,True,Sentiment: **positive**
25 November 2010 - Finnish paints and coatings company Tikkurila Oyj ( HEL : TIK1V ) said today that Finnish state-owned investment company Solidium Oy sold its 14.7 % stake in the company for a total of EUR98m .,neutral,neutral,True,"**Sentiment: neutral**

The text reports a financial transaction (sale of a stake) without expressing"
"Its customers include local companies Slo Oy , Kiilto Oy , Toptronics Oy , Normark Suomi Oy , Pellonpaja Oy and Mansner Oy .",neutral,neutral,True,Sentiment: neutral
"Under the deal , Know IT will pay SEK90m ( USD12 .8 m-EUR8 .6 m ) in cash and stock .",neutral,neutral,True,Sentiment:neutral
"Finnish construction group Lemminkainen Oyj HEL : LEM1S said today it has won a contract to provide technical services for the Nevsky Centre shopping mall to be opened in November in St Petersburg , Russia .",positive,positive,True,"**Sentiment: positive**

**Reasoning:** The text reports that Lemminkainen Oy"
"To check them out or to make a bid they will be in the Deka Showroom , Fortitude Valley .",neutral,neutral,True,"Sentiment: neutral

**Explanation:** The text provides information about where one can check out or make"
The company also said that in Poland a profitability program has been launched at the Oborniki steel frame and sandwich panel plant .,positive,neutral,False,Sentiment: neutral
"ADP News - Nov 6 , 2008 - Finnish retail software developer Aldata Solution Oyj OMX : ALD1V said today that it swung to a net profit of EUR 2.1 million USD 2.7 m for the first nine months of 2008 versus a net loss of EU",positive,positive,True,Sentiment:positive
"These financing arrangements will enable the company to ensure , in line with its treasury policy , that it has sufficient financial instruments at its disposal for its potential capital requirements .",positive,neutral,False,"**Sentiment: neutral**

The text provides a factual description of financing arrangements and their purpose in align"
"Both operating profit and net sales for the nine-month period increased , respectively by 26.6 % and 3.4 % , as compared to the corresponding period in 2006 .",positive,positive,True,"**Sentiment: positive**

**Reasoning:** The text states that both operating profit and net sales"
Fortum had previously bought the state-held stake in TGK-10 from RAO UES during its reform .,neutral,neutral,True,Sentiment:neutral
"Founded in 1985 , Quatrocon 's clientele consists of public sector builders , central trading companies and major construction firms .",neutral,neutral,True,"**Sentiment: neutral**

The text provides factual information about the company's founding year and its client"
Almost two thirds of Olvi 's net sales come from outside Finland .,neutral,neutral,True,neutral
"The contract incorporates a Convergent Charging rating solution for voice and data , which includes Internet , GPRS , SMS , MMS and WAP .",neutral,neutral,True,"Sentiment: **neutral**  

**Explanation:** The text provides factual information about the contract's inclusion"
Peigs www.peigs.se will become part of Sardus Latta Maltider Light Meals unit .,neutral,negative,False,"**Sentiment: neutral**

The sentence states a factual business integration without expressing positive or negative emotions."
Terms were not disclosed .,neutral,neutral,True,neutral
These moderate but significant changes resulted in a significant 24-32 % reduction in the estimated CVD risk .,positive,positive,True,Sentiment:positive
The economic occupancy rate of Sponda 's property portfolio rose to 91.2 % from 88.8 % in 2006 .,positive,positive,True,Sentiment:positive
"Glaston 's own glass processing unit , Tamglass Glass Processing , is a manufacturer of high quality safety glass products operating in Finland .",neutral,neutral,True,Sentiment: neutral
"The flagship will open this fall in Manhattan 's Flatiron District in the `` Toy Building , '' at 200 Fifth Avenue .",neutral,neutral,True,Sentiment: neutral
"Proline Plus is available in both adjustable single and multichannel models and fixed volume single-channel models , in volume ranges from 0.1 micro litres to 10 ml .",neutral,neutral,True,"**Sentiment: neutral**

The text provides a factual description of the product features and specifications of Pro"
"In July-September 2009 , Konecranes ' sales decreased to EUR 368.7 mn from EUR 520.4 mn in July-September 2008 .",negative,negative,True,"Sentiment: **negative**  

**Reasoning:** The text mentions a decrease in sales from EUR"
"Food sales totalled EUR 323.5 mn in October 2009 , representing a decrease of 5.5 % from October 2008 .",negative,negative,True,Sentiment: negative
An international conference call and audio webcast concerning the financial result January-March 2010 will begin at 14.00 EET .,neutral,neutral,True,"**Sentiment: neutral**

The text provides factual information about an upcoming conference call and webcast for"
"The huge bridge girders will be delivered to the site from our plant in Ylivieska , Finland .",neutral,neutral,True,"**Sentiment: neutral**

The statement provides factual information about the delivery of bridge girders from"
"The most significant capital expenditure items were in the global enterprise resource planning ERP project , product development and production machines .",neutral,neutral,True,"**Sentiment: neutral**

The sentence provides factual information about the company's capital expenditures without expressing a"
The company said that sales in the three months to the end of March slid to EUR86 .4 m US$ 113.4 m from EUR91 .2 m last year .,negative,negative,True,"**Sentiment: negative**

**Reasoning:** The text states that sales ""slid"" to"
"Operating profit totaled EUR 6.7 mn , down from EUR 7.2 mn in the corresponding period in 2005 .",negative,negative,True,"**Sentiment: negative**  

**Reasoning:** The text states that operating profit decreased from EUR"
"These products include Personal Communications products such as mobile phones and their parts , Home Communications products such as set-top boxes and electronics for flat panel TVs as well as Communications Networks products such as base-stations , tower-top amplifiers , and microwave systems .",neutral,neutral,True,"**Sentiment: neutral**

The text provides a descriptive list of product categories without expressing any positive or"
` Nordic infrastructure construction is one of our strategic growth areas .,neutral,positive,False,"**Sentiment: positive**

**Reasoning:** The statement highlights a strategic growth area for the company"
In 2008 Stockmann earned 3.398 million lats in profit on 48.012 million lats in turnover .,neutral,neutral,True,"**Sentiment: neutral**

The text provides factual information about Stockmann's financial performance in 2"
