text,true_label,predicted_label,correct,full_response
Finnish metal products company Componenta Oyj net profit rose to 26.1 mln euro ( $ 35.9 mln ) for the first quarter of 2007 from 5.3 mln euro ( $ 7.3 mln ) for the same period of 2006 .,positive,positive,True,"**Sentiment: positive**

**Reason:** The text states that the net profit of Finnish metal products"
"The company has decided to stop the operations of Ruukki Construction Division in Latvia and Lithuania , and concentrate the production and logistics in Parnu , Estonia in 2009 .",neutral,neutral,True,"**Sentiment: neutral**

**Reason:** The text ""The company has decided to stop the operations"
"In September alone , the market declined by 10.2 percent year-on-year to 19.28 million liters .",negative,negative,True,"**Sentiment: negative**

**Reason:** The text ""In September alone, the market declined by"
"Harold W. Young is an independent broker working closely with several retailers including Ahold USA , Market Basket , CVS , BJ 's Wholesale Club , Hannaford and Cumberland Farms .",neutral,neutral,True,"Sentiment:neutral

**Reason:** The text provides factual information about Harold W. Young, describing"
"Earnings per share ( EPS ) amounted to EUR0 .98 , up from the loss of EUR0 .02 .",positive,positive,True,"**Sentiment: positive**

**Reason:** The text states, ""Earnings per share (EPS"
"Helsinki on October 22 , 2008 SSH COMMUNICATIONS SECURITY CORP Board of Directors For further information , please contact : Tomi Laamanen , Chairman , tel. +358 0 400 609 544 Distribution : NASDAQ OMX Helsinki Ltd. .",neutral,neutral,True,"Sentiment:neutral

**Reason:** The text provides factual information about a company (SSH Communications Security"
"The Tecnomen Convergent Charging solution includes functionality for prepaid and post-paid billing , charging and rating of voice calls , video calls , raw data traffic and any type of content services in both mobile and fixed networks .",neutral,neutral,True,"**Sentiment: neutral**

**Reason:** The text provides a factual description of the features and capabilities"
Net sales of the Vegetable Oil Business rose to EUR 10.6 mn from EUR 10.1 mn .,positive,positive,True,"Sentiment:positive

**Reason:** The text states, ""Net sales of the Vegetable Oil Business"
"The objective is that trading in the shares will commence on May 2 , 2007 .",neutral,neutral,True,"Sentiment:neutral

**Reason:** The text ""The objective is that trading in the shares will"
"The deal includes all rental equipment and related merchandise , the rental contract of the depot and two employees , the company said .",neutral,neutral,True,"**Sentiment:** neutral  

**Reason:** The text ""The deal includes all rental equipment and related"
The parties have agreed not to disclose the transaction value .,neutral,neutral,True,"**Sentiment: neutral**

**Reason:** The text ""The parties have agreed not to disclose the"
"Our key geographical markets are Europe , Russian Federation , Middle-East , South-Africa and Japan .",neutral,neutral,True,"Sentiment:neutral

**Reason:** The text ""Our key geographical markets are Europe, Russian Federation"
The office space will rise above the remodeled Cannon Street underground station .,neutral,neutral,True,"**Sentiment: neutral**

**Reason:** The text ""The office space will rise above the rem"
"Operating profit of Kauppalehti group rose to EUR 1.5 mn from EUR 1.3 mn , and that of Marketplaces to EUR 1.3 mn from EUR 1.0 mn in the third quarter of 2006 .",positive,neutral,False,"Sentiment:neutral

**Reason:** The text states, ""Operating profit of Kauppalehti"
"In the fourth quarter of 2006 , OKO Banks expects the operating environment for Banking and Investment Services to remain similar to that in January-September 2006 .",neutral,neutral,True,":neutral

---

Text:In the fourth quarter of 2006 , OKO Banks"
The new SEPA cads will replace Finnish bank cards .,neutral,neutral,True,"**Sentiment: neutral**

**Reason:** The sentence ""The new SEPA cads will replace"
"ADP News - Feb 25 , 2009 - Finnish printed circuit board PCB maker Aspocomp Group Oyj HEL : ACG1V said today it swung to a net profit of EUR 300,000 USD 385,000 for 2008 versus a net loss of EUR 65.3 million",positive,positive,True,"Sentiment:positive

**Reason:** The text states that Aspocomp Group Oyj"
"Incap , headquartered in Oulu , Finland , is a electronics contract manufacturer with some 750 employees in Finland , Estonia and India .",neutral,neutral,True,"**Sentiment: neutral**

**Reason:** The text states ""Incap, headquartered in Oulu"
"Janis Arbidans , CEO of YIT Celtnieciba , said the company was focusing on housing and real estate development market .",neutral,neutral,True,"Sentiment:neutral

**Reason:** The text ""Janis Arbidans, CEO of Y"
"Raute reported a loss per share of EUR0 .86 for the first half of 2009 , against EPS of EUR0 .74 in the corresponding period of 2008 .",negative,negative,True,"**Sentiment: negative**

**Reason:** The text ""Raute reported a loss per share of"
Shuweihat 2 got under way in July 2008 when the project was awarded to desalination and power contractors .,neutral,neutral,True,"**Sentiment: neutral**

**Reason:** The text states, ""Shuweihat 2"
"There will be return flights from Stuttgart every morning , as well as evening departures on Thursdays , Fridays and Sundays .",neutral,neutral,True,"**Sentiment: neutral**

**Reason:** The text ""There will be return flights from Stuttgart every"
"According to Atria 's President and CEO Matti Tikkakoski , the company 's Swedish operations significantly improved in the first quarter .",positive,positive,True,"**Sentiment: positive**

**Reason:** The text states, ""According to Atria's"
"Finnish electronics contract manufacturer Scanfil reports net sales of EUR 58.9 mn in the second quarter of 2007 , down from EUR 62.4 mn a year earlier .",negative,neutral,False,"Sentiment:neutral

Reason: The text ""Finnish electronics contract manufacturer Scanfil reports net"
Kesko has previously published a stock exchange release concerning the deal on 7 February 2007 .,neutral,neutral,True,"Sentiment:neutral

Reason: The text states, ""Kesko has previously published a stock"
Ruukki 's order book at the end of 2010 was 30 % up year-on-year and 10 % up quarter-on-quarter .,positive,positive,True,"**Sentiment: positive**

**Reason:** The text states that Ruukki's order book at"
"`` The enterprise value of the Fray Bentos pulp mill and Forestal Oriental totals approximately euro1 .6 billion , '' UPM said .",neutral,neutral,True,"**Sentiment: neutral**

**Reason:** The text quotes UPM stating that the enterprise value of"
These measures are expected to produce annual cost savings of EUR 1.5 million starting in 2007 .,positive,positive,True,"**Sentiment: positive**

**Reason:** The text ""These measures are expected to produce annual cost"
"Currently Glaston employs approximately 1,500 persons .",neutral,neutral,True,"Sentiment:neutral

**Reason:** The text ""Currently Glaston employs approximately 1,"
